dimension,question_text,question_type,mapped_domains,mapped_streams,signal_strength,is_active,education_level,target_stream,sequence_order,option_1_text,option_2_text,option_3_text,option_4_text
aptitude,"Pure science needs concepts, experiments, theory, and patient study. How does that feel?",mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,76,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you build lab skills, research reading, problem-solving, and scientific writing?",mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,77,Not confident,A little confident,Confident,Very confident
aptitude,"Could you spend time reading, practicing, and repeating experiments or problems carefully?",mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,78,Not confident,A little confident,Confident,Very confident
personality,"When a Pure Sciences concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,79,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Pure Sciences work, what would you most likely do?",mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,80,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Pure Sciences?,mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,81,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Science work can be slow, detailed, experimental, and question-driven. Does that suit you?",mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,82,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to pure sciences?,mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,83,Never,Only school subjects,Joined science projects or fairs,Explored seriously
work_style,A first step could be exploring one science topic through a small project. How realistic does that feel for you?,mcq,SCI_TECH|PURE_SCIENCES,,4,1,,,84,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Environmental Science systems, tools, or ideas actually work?",mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,85,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Environmental Science project feel exciting to you?",mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,86,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Environmental Science even before you are good at it?,mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,87,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Environmental science needs biology, chemistry, geography, data, and field observation. How manageable is that?",mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,88,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn field sampling, data tracking, environmental reports, and sustainability basics?",mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,89,Not confident,A little confident,Confident,Very confident
aptitude,Could you learn to collect observations and explain environmental findings clearly?,mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,90,Not confident,A little confident,Confident,Very confident
personality,"When an Environmental Science concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,91,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Environmental Science work, what would you most likely do?",mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,92,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Environmental Science?,mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,93,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve field visits, data, communities, and long-term change. Does that suit you?",mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,94,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to environmental science?,mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,95,Never,Only heard about it,Did a project or field visit,Explored seriously
work_style,A first step could be studying one local environmental problem. How realistic does that feel for you?,mcq,SCI_TECH|ENV_SCIENCE,,4,1,,,96,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Mathematics & Statistics systems, tools, or ideas actually work?",mcq,SCI_TECH|MATH_STATS,,4,1,,,97,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Mathematics & Statistics project feel exciting to you?",mcq,SCI_TECH|MATH_STATS,,4,1,,,98,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Mathematics & Statistics even before you are good at it?,mcq,SCI_TECH|MATH_STATS,,4,1,,,99,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Math and statistics need logic, patience, formulas, and practice. How does that feel?",mcq,SCI_TECH|MATH_STATS,,4,1,,,100,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn statistics tools, proofs, data tables, and problem-solving methods?",mcq,SCI_TECH|MATH_STATS,,4,1,,,101,Not confident,A little confident,Confident,Very confident
aptitude,Could you practice difficult problems until the method becomes clear?,mcq,SCI_TECH|MATH_STATS,,4,1,,,102,Not confident,A little confident,Confident,Very confident
personality,"When a Mathematics & Statistics concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|MATH_STATS,,4,1,,,103,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Mathematics & Statistics work, what would you most likely do?",mcq,SCI_TECH|MATH_STATS,,4,1,,,104,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Mathematics & Statistics?,mcq,SCI_TECH|MATH_STATS,,4,1,,,105,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can be abstract, exact, and problem-focused. Does that suit you?",mcq,SCI_TECH|MATH_STATS,,4,1,,,106,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to math or statistics beyond regular class?,mcq,SCI_TECH|MATH_STATS,,4,1,,,107,Never,Only school maths,Joined contests or projects,Explored seriously
work_style,A first step could be trying one statistics or logic project. How realistic does that feel for you?,mcq,SCI_TECH|MATH_STATS,,4,1,,,108,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Aerospace & Space Science systems, tools, or ideas actually work?",mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,109,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Aerospace & Space Science project feel exciting to you?",mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,110,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Aerospace & Space Science even before you are good at it?,mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,111,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Aerospace needs physics, maths, mechanics, and careful design thinking. How manageable is that?",mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,112,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn flight basics, simulations, design tools, and space science concepts?",mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,113,Not confident,A little confident,Confident,Very confident
aptitude,Could you build the maths and physics base needed for aerospace topics?,mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,114,Not confident,A little confident,Confident,Very confident
personality,"When an Aerospace & Space Science concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,115,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Aerospace & Space Science work, what would you most likely do?",mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,116,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Aerospace & Space Science?,mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,117,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve complex theory, testing, precision, and long projects. Does that suit you?",mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,118,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to aerospace or space science?,mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,119,Never,Only watched content,Did a project or course,Explored seriously
work_style,A first step could be learning how flight or satellites work. How realistic does that feel for you?,mcq,SCI_TECH|AEROSPACE_SPACE,,4,1,,,120,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Mechanical Engineering systems, tools, or ideas actually work?",mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,121,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Mechanical Engineering project feel exciting to you?",mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,122,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Mechanical Engineering even before you are good at it?,mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,123,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Mechanical engineering needs physics, maths, drawings, and practical problem-solving. How does that feel?",mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,124,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn CAD basics, mechanics, materials, and workshop tools with practice?",mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,125,Not confident,A little confident,Confident,Very confident
aptitude,"Could you learn mechanical drawings, models, and basic workshop thinking with practice?",mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,126,Not confident,A little confident,Confident,Very confident
personality,"When a Mechanical Engineering concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,127,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Mechanical Engineering work, what would you most likely do?",mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,128,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Mechanical Engineering?,mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,129,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Mechanical work can be hands-on, technical, calculation-based, and iterative. Does that suit you?",mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,130,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to mechanical engineering?,mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,131,Never,Only seen machines,Studied or built something mechanical,Explored seriously
work_style,A first step could be learning how one machine part works. How realistic does that feel for you?,mcq,SCI_TECH|MECHANICAL_ENG,,4,1,,,132,Not ready yet,Maybe later,Ready to try,Ready and excited
interest,"How interested are you in understanding how Electrical Engineering systems, tools, or ideas actually work?",mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,133,Not interested,A little interested,Interested,Very interested
interest,"Would building, testing, or exploring a small Electrical Engineering project feel exciting to you?",mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,134,Not interested,A little interested,Interested,Very interested
interest,Can you see yourself spending time learning the basics of Electrical Engineering even before you are good at it?,mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,135,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
aptitude,"Electrical engineering needs physics, maths, circuits, and careful troubleshooting. How manageable is that?",mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,136,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn circuit basics, measurement tools, electronics, and safety practices?",mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,137,Not confident,A little confident,Confident,Very confident
aptitude,"Could you safely practice with simple circuits, meters, or electronics kits?",mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,138,Not confident,A little confident,Confident,Very confident
personality,"When an Electrical Engineering concept, tool, or technical problem does not work at first, how do you usually respond?",mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,139,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a bug, calculation mistake, or weak technical approach in your Electrical Engineering work, what would you most likely do?",mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,140,I may lose patience quickly,I can continue if someone guides me,I usually keep trying step by step,I enjoy improving through repeated practice
personality,How do you feel about the focused practice and repeated problem-solving needed to improve in Electrical Engineering?,mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,141,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve testing, safety, details, and solving technical faults. Does that suit you?",mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,142,Not at all,A little,Yes mostly,Yes definitely
work_style,Which of these is closest to your exposure to electrical engineering?,mcq,SCI_TECH|ELECTRICAL_ENG,,4,1,,,143,Never,Only seen devices,Studied or built electronics,Explored seriously
