domain_code,degrees,careers,note,how_to_choose_hint,next_step_1,next_step_2,next_step_3
creator_economy,BA Mass Communication|BSc Animation|BA Journalism,Content Creator|Video Producer|Brand Strategist,Day-to-day: producing content consistently — writing filming editing and publishing across platforms.,you enjoy creating content and want to build an audience or work in media production,Post or publish something consistently for 30 days — a video a post anything. See if you enjoy the process,Check whether BA Mass Communication or BSc Animation covers the tools you want to use,Look at what a Video Producer vs. a Brand Strategist actually does — different skills and day-to-day
entrepreneurship,BBA|B.Tech (any)|BA Economics,Founder|Business Development Manager|Product Manager,Day-to-day: building a product finding customers and solving operational problems from scratch.,you want to build something of your own and are comfortable taking ownership of outcomes,Start something small now — a service a product anything. The degree matters less than what you build alongside it,Check whether BBA or B.Tech programs at your target colleges have startup ecosystems or incubators,Talk to one founder (even a small business owner) about what the first year of building something actually looks like
renewable_energy,B.Tech Electrical|B.Tech Environmental Engineering|BSc Physics,Energy Analyst|Solar Project Engineer|Sustainability Consultant,Day-to-day: designing and deploying solar wind or storage systems — mix of field and desk work.,you enjoy engineering work and want to work on clean energy infrastructure,Look at the first-year syllabus for B.Tech Electrical or Environmental Engineering,Check which colleges have strong renewable energy or clean tech programs,Watch one video of a solar project engineer explaining what they actually do on a project site
ev_mobility,B.Tech Mechanical|B.Tech Electrical|B.Tech Automotive,EV Systems Engineer|Battery Engineer|Fleet Tech Manager,Day-to-day: working on battery systems motors or the software that controls electric vehicles.,the shift from combustion to electric genuinely interests you at a technical level,Look at the first-year subjects for B.Tech Mechanical or Electrical at colleges you're considering,Check which companies are hiring EV engineers in India and what skills they ask for,Watch one video of an EV systems engineer explaining what they work on day-to-day
iot,B.Tech Electronics|B.Tech Computer Science|BSc IT,IoT Engineer|Embedded Developer|Smart Systems Architect,Day-to-day: programming microcontrollers and connecting devices to cloud or local networks.,you enjoy working where hardware and software meet and want to build connected systems,Look at the first-year subjects for B.Tech Electronics or CS at colleges you're considering,Try a basic Arduino or Raspberry Pi tutorial online — free and shows you if embedded work interests you,Check what an IoT Engineer vs. an Embedded Developer does — different focus same field
legaltech,LLB|BA LLB|BBA LLB,Legal Analyst|Compliance Officer|LegalTech Product Manager,Day-to-day: working on legal documents compliance systems or building tools that automate legal work.,you enjoy law and want to work on how technology is changing legal practice,Look at the first-year subjects for BA LLB or BBA LLB at colleges you're considering,Check what a Legal Analyst vs. a LegalTech Product Manager does — very different roles,Talk to a law student about what the first year actually involves
edtech,B.Ed|BA Education|BCA + EdTech certs,Instructional Designer|EdTech Product Manager|Curriculum Developer,Day-to-day: designing learning content or building platforms that help students learn more effectively.,you care about education and want to improve how people learn through technology,Look at what Instructional Designer and EdTech Product Manager roles involve day-to-day,Check whether B.Ed or BCA programs at your target colleges have EdTech or product tracks,Try building one small piece of learning content — a video a quiz anything — to see if you enjoy the process
pharma,B.Pharm|BSc Chemistry|B.Tech Chemical Engineering,Pharmacist|Drug Regulatory Affairs Specialist|Pharma Sales Manager,Day-to-day: working on drug formulation testing regulatory submissions or sales in pharma companies.,you want to work in medicine and healthcare through a science or business role,Look at the first-year subjects for B.Pharm or BSc Chemistry at colleges you're considering,Check what a Pharmacist vs. a Drug Regulatory Affairs Specialist does — different career paths,Talk to someone working in a pharma company about what the actual work involves
nanotech,B.Tech Nanotechnology|BSc Physics / Chemistry|B.Tech Materials Science,Nanomaterials Researcher|R&D Scientist|Process Engineer,Day-to-day: lab-based research on materials at the nanoscale — mostly academic or R&D roles.,you enjoy deep science research and want to work at the frontier of materials and physics,Look at the first-year subjects for B.Tech Nanotechnology or BSc Physics at colleges you're considering,Check which colleges in India have strong nanotechnology or materials science programs,Talk to a researcher in this field about what the actual work and career path looks like
sports_tech,BSc Sports Science|BPEd|BSc Physiotherapy,Sports Scientist|Performance Analyst|Sports Physiotherapist,Day-to-day: analysing athlete performance data or providing physical rehabilitation and conditioning.,you are passionate about sports and want a science-backed career working with athletes,Look at the first-year subjects for BSc Sports Science or BSc Physiotherapy,Check which colleges have strong sports science programs and what their facilities look like,Talk to a sports scientist or physiotherapist about what their actual day-to-day work involves
hrtech,BBA HR|BA Psychology|MBA HR,HR Analyst|People Operations Manager|Talent Acquisition Specialist,Day-to-day: hiring managing people data and building systems that improve how organisations run.,you enjoy working with people and want to build or improve how organisations function,Look at the first-year subjects for BBA HR or BA Psychology at colleges you're considering,Check what an HR Analyst vs. a People Operations Manager does — different focus areas,Talk to someone working in HR about what the actual day-to-day work involves
ecommerce,BBA|B.Tech CS|BSc Business Analytics,E-Commerce Manager|Growth Analyst|Category Manager,Day-to-day: managing product listings logistics campaigns and the operations of an online store.,you enjoy business operations and want to work on how online retail grows and runs,Look at the first-year subjects for BBA or BSc Business Analytics at colleges you're considering,Check what a Growth Analyst vs. a Category Manager does — different skills and focus,Try setting up a free Shopify store and see how the operations side of e-commerce actually works
agritech,B.Tech Agricultural Engineering|BSc Agriculture|B.Tech Biotechnology,AgriTech Analyst|Farm Tech Consultant|Agricultural Scientist,Day-to-day: applying sensors data or biotech to improve crop yield and farming efficiency.,you want to modernise agriculture and food systems using technology,Look at the first-year subjects for B.Tech Agricultural Engineering or BSc Agriculture,Visit one agritech startup or agricultural college to see what modern agriculture actually looks like,Check what an AgriTech Analyst vs. an Agricultural Scientist does — different career paths
climate_tech,B.Tech Environmental Engineering|BSc Environmental Science|B.Tech Chemical,Climate Analyst|Sustainability Consultant|Carbon Markets Specialist,Day-to-day: measuring emissions building sustainability strategies or developing clean technology.,you want to work directly on climate and sustainability problems,Look at the first-year subjects for B.Tech Environmental Engineering or BSc Environmental Science,Check which companies and organisations are hiring in climate tech in India and what skills they ask for,Talk to someone working in sustainability or climate tech about what the actual work involves
gaming,B.Tech CS / Game Design|BSc Animation|BA Game Design,Game Developer|Game Designer|Technical Artist,Day-to-day: writing game logic designing levels or building the art and systems that make games work.,you want to build games and are comfortable working across both code and creative design,Try Unity or Godot (both free) and follow one beginner tutorial — see if building games interests you,Check the first-year subjects for B.Tech CS or BSc Animation at colleges you're considering,Look at what a Game Developer vs. a Game Designer does — very different skills and day-to-day
ar_vr,B.Tech CS|BSc Animation|B.Tech Electronics,AR/VR Developer|Immersive Experience Designer|XR Engineer,Day-to-day: building 3D environments and interactive experiences for headsets or mobile devices.,you want to build immersive digital experiences and enjoy working with 3D tools and code,Try Unity or Unreal Engine (both free) and build one simple 3D scene — see if this kind of work interests you,Check the first-year subjects for B.Tech CS or BSc Animation at colleges you're considering,Look at what an AR/VR Developer vs. an XR Engineer does — different focus areas
blockchain,B.Tech CS|BSc Mathematics|BCA,Blockchain Developer|Smart Contract Engineer|Web3 Product Manager,Day-to-day: writing smart contracts building decentralised apps or working on blockchain protocols.,you want to build decentralised systems and are comfortable with the technical and evolving nature of the space,Try one free Solidity tutorial and deploy a simple smart contract on a testnet — see if this interests you,Check the first-year subjects for B.Tech CS or BSc Mathematics at colleges you're considering,Look at what a Blockchain Developer vs. a Web3 Product Manager does — very different roles
data_engineering,B.Tech CS|BSc Statistics|BCA,Data Engineer|Analytics Engineer|Pipeline Architect,Day-to-day: building pipelines that collect clean and move data so analysts and models can use it.,you enjoy building infrastructure and want to work on the systems that make data usable at scale,Try one free SQL tutorial and one intro to data pipelines — see if building data systems interests you,Check the first-year subjects for B.Tech CS or BSc Statistics at colleges you're considering,Look at what a Data Engineer vs. an Analytics Engineer does — different focus same field
supply_chain,B.Tech Industrial Engineering|BBA Operations|BSc Logistics,Supply Chain Analyst|Operations Manager|Logistics Consultant,Day-to-day: tracking inventory managing vendors and solving problems in how goods move and get delivered.,you enjoy operations and logistics and want to work on how products reach customers efficiently,Look at the first-year subjects for B.Tech Industrial Engineering or BBA Operations,Check what a Supply Chain Analyst vs. an Operations Manager does — different focus areas,Talk to someone working in logistics or supply chain about what the actual day-to-day work involves
mental_health,BA Psychology|BSc Psychology|MA Counselling,Counsellor|Psychotherapist|Mental Health Researcher,Day-to-day: working directly with people through therapy sessions or conducting psychological research.,you want to work closely with people and are drawn to understanding human behaviour and wellbeing,Look at the first-year subjects for BA Psychology or BSc Psychology at colleges you're considering,Check what a Counsellor vs. a Mental Health Researcher does — very different career paths,Talk to a psychologist or counsellor about what their actual day-to-day work involves
defense_tech,B.Tech (any)|NDA|BSc Physics,Defense Analyst|Systems Engineer|Intelligence Analyst,Day-to-day: developing or analysing defense systems — electronics intelligence or strategic planning.,you want to work in national security and are drawn to a structured and high-stakes career,Look at NDA and DRDO recruitment pathways — these are the two main structured entry points,Check the first-year subjects for B.Tech or BSc Physics at colleges you're considering,Talk to someone in defense or a defense PSU about what the actual career path looks like
space_tech,B.Tech Aerospace|BSc Physics|B.Tech Mechanical,Aerospace Engineer|Satellite Systems Engineer|Mission Analyst,Day-to-day: designing spacecraft systems running simulations or working on satellite operations.,you are passionate about space and aerospace and want to work on the engineering behind it,Look at IIST (Indian Institute of Space Science and Technology) admissions — the most direct path into ISRO,Check the first-year subjects for B.Tech Aerospace or BSc Physics at colleges you're considering,Look at what an Aerospace Engineer vs. a Mission Analyst does — different roles in the same field
mbbs_medicine,MBBS|MD|MS|Diploma in Medical Sciences,Doctor|Surgeon|Specialist Physician,Day-to-day: examining patients diagnosing conditions and prescribing treatment in hospitals or clinics.,you want to directly heal people and are prepared for a long demanding but deeply respected career,Shadow a doctor for one full day before committing — the gap between what people imagine and what it actually involves is enormous,Check NEET UG cutoffs for government medical colleges in your state — the seat availability will shape your strategy,Look at what a general physician vs. a specialist surgeon does day-to-day — very different lifestyles
nursing,B.Sc Nursing|GNM|Post Basic B.Sc Nursing,Registered Nurse|ICU Nurse|Community Health Nurse,Day-to-day: monitoring patients administering medication and coordinating care in hospitals and clinics.,you want to be at the frontline of patient care and are comfortable with physically and emotionally demanding work,Check INC-recognised colleges in your state — the recognition matters for both domestic and international opportunities,Look at what a hospital nurse vs. a community health nurse does — very different environments and hours,Talk to a working nurse about the day-to-day reality before committing
pharmacy,B.Pharm|M.Pharm|Pharm.D,Pharmacist|Clinical Pharmacist|Drug Regulatory Affairs,Day-to-day: dispensing medicines counselling patients on drug use and ensuring safe medication practices.,you are interested in medicines and healthcare but prefer a less clinical role than a doctor or nurse,Learn the difference between retail pharmacy and clinical pharmacy — they need different skills and offer different careers,Check GPAT scores required for M.Pharm admissions if you want to go into research or hospital pharmacy,Talk to a pharmacist at a hospital vs. a retail chemist — the work is completely different
physiotherapy,B.P.T (Bachelor of Physiotherapy)|M.P.T,Physiotherapist|Sports Physiotherapist|Neuro Rehab Specialist,Day-to-day: assessing patients and designing rehabilitation programmes to restore movement and reduce pain.,you enjoy working with people physically and want to help them recover from injury or illness,Get certified in one specialisation (sports physio or neuro rehab) early — it differentiates you in a crowded market,Check whether the college is affiliated with a hospital — clinical hours are essential and not all colleges provide enough,Look at what a hospital physiotherapist vs. a sports physiotherapist does — very different patient types and settings
dentistry,BDS (Bachelor of Dental Surgery)|MDS,Dentist|Orthodontist|Oral Surgeon,Day-to-day: examining patients diagnosing oral conditions and performing procedures like fillings extractions and root canals.,you have good manual dexterity enjoy working with your hands and want clinical independence early in your career,Shadow a dentist for a week before committing — the manual dexterity and patient interaction requirements are very specific,Check NEET UG cutoffs for government dental colleges — government seats are significantly cheaper than private,Look at what a general dentist vs. an orthodontist does — specialisation takes extra years but significantly increases earning
ayurveda_homeopathy,BAMS|BHMS|BUMS,Ayurvedic Doctor|Homeopathic Practitioner|Wellness Consultant,Day-to-day: consulting patients diagnosing using traditional methods and prescribing herbal or homeopathic treatments.,you believe in traditional medicine and want to practice in a growing integrative health space,Get registered with your state AYUSH council immediately after graduation — it is the legal requirement for practice,Look at what a traditional AYUSH clinic vs. a modern wellness centre offers — very different patient expectations,Check whether your college has a good OPD — clinical exposure during the degree is critical
civil_engineering,B.Tech Civil Engineering|B.E Civil,Civil Engineer|Structural Engineer|Site Engineer,Day-to-day: designing structures supervising construction sites and ensuring projects meet safety and quality standards.,you enjoy working with physical structures and want to see the tangible results of your work in the real world,Learn AutoCAD and STAAD Pro — those are the two tools that get you hired at most civil engineering firms in India,Check whether the college has industry tie-ups and internship programmes — practical exposure matters more than theory here,Look at what a structural engineer vs. a project manager does — different skills and very different day-to-day
mechanical_engineering,B.Tech Mechanical Engineering|B.E Mechanical,Mechanical Engineer|Design Engineer|Production Engineer,Day-to-day: designing mechanical components running simulations and working with manufacturing teams to build products.,you enjoy understanding how machines work and want to design or improve physical systems,Learn SolidWorks or CATIA and get comfortable with FEA basics — those are the two things that separate candidates in most roles,Check whether the college has a good workshop and lab facilities — hands-on exposure is what makes mechanical engineers hireable,Look at what a design engineer vs. a production engineer does — very different work environments
electrical_engineering,B.Tech Electrical Engineering|B.E Electrical,Electrical Engineer|Power Systems Engineer|Embedded Systems Engineer,Day-to-day: designing electrical systems testing circuits and ensuring power infrastructure runs safely and efficiently.,you enjoy working with circuits power systems and want to understand the electrical backbone of modern infrastructure,Learn ETAP or MATLAB Simulink for power systems — those are the tools most electrical engineering firms hire for,Check whether the college has strong industry connections in power or electronics — the two sectors hire very differently,Look at what a power systems engineer vs. an embedded systems engineer does — completely different skill sets
chemical_engineering,B.Tech Chemical Engineering|B.E Chemical,Chemical Engineer|Process Engineer|Safety Engineer,Day-to-day: designing chemical processes running simulations and ensuring plant operations are safe and efficient.,you enjoy chemistry and want to apply it at industrial scale in sectors like pharma oil and gas or food processing,Learn Aspen Plus or HYSYS — those are the simulation tools that every chemical engineering employer expects you to know,Check whether the college has industry tie-ups with refineries pharma companies or chemical plants — internships are critical,Look at what a process design engineer vs. a plant operations engineer does — very different work rhythms
manufacturing,B.Tech Manufacturing|B.E Industrial Engineering|Diploma + experience,Manufacturing Engineer|Production Manager|Quality Engineer,Day-to-day: optimising production lines managing quality control and ensuring factory operations run efficiently.,you enjoy hands-on technical work and want to see the direct output of your efforts in physical products,Get an NSDC certification in your specific trade — it is recognised by most large manufacturers and opens apprenticeship doors,Check whether the college has industry tie-ups with manufacturing companies — factory visits and internships are essential,Look at what a production engineer vs. a quality engineer does — different focus but both critical in manufacturing
upsc_civil_services,Any graduation (any stream)|UPSC preparation,IAS Officer|IPS Officer|IFS Officer,Day-to-day: administering government policy managing public services and making decisions that affect millions of people.,you want to serve the nation at the highest level and are prepared for years of disciplined preparation,Start with NCERT books from class 6 to 12 before anything else — they are the foundation that everything else builds on,Join a reputed test series at least 12 months before the exam — answer writing practice is what separates toppers,Look at what an IAS officer vs. an IPS officer does day-to-day — very different roles despite the same exam
state_govt_services,Any graduation|State PSC preparation,State Civil Servant|Revenue Officer|Block Development Officer,Day-to-day: managing district administration implementing government schemes and serving the public at the state level.,you want to serve your home state and are looking for a stable respected career with clear progression,Focus on your state-specific syllabus — state PSC exams have local history geography and polity sections that UPSC prep alone will not cover,Start preparation at least 18 months before the exam — the competition is intense and consistency beats last-minute cramming,Look at what an administrative officer vs. a revenue officer does — different departments very different day-to-day
banking_govt,Any graduation|IBPS/SBI preparation,Bank PO|Bank Clerk|Specialist Officer,Day-to-day: managing customer accounts processing loans and ensuring banking operations run smoothly in a PSU bank.,you want a stable government job with good benefits and are comfortable with structured process-driven work,Start IBPS prep at least 12 months before the exam — the competition is intense and consistency beats last-minute cramming,Focus on quantitative aptitude and reasoning — those two sections determine most candidates' scores,Look at what a Bank PO vs. a Specialist Officer does — different roles different career paths
defense_armed_forces,NDA|CDS|AFCAT|Technical Entry Scheme,Army Officer|Naval Officer|Air Force Officer,Day-to-day: leading troops managing operations and ensuring the security and readiness of your unit.,you want to serve the nation in uniform and are prepared for the physical and psychological demands of military life,Start NDA or CDS preparation early — the written exam is competitive and the SSB interview requires months of dedicated preparation,Focus on physical fitness alongside academics — the SSB interview has a physical component that many candidates underestimate,Look at what a combat officer vs. a technical officer does — very different roles within the same forces
police_law_enforcement,Any graduation|State Police recruitment,Police Officer|Sub-Inspector|Inspector,Day-to-day: patrolling maintaining law and order investigating crimes and serving the community.,you want to serve your community directly and are prepared for the physical and psychological demands of law enforcement,Focus on physical fitness and general studies simultaneously — both are tested and both take consistent preparation,Check your state police recruitment calendar — timelines and eligibility vary significantly by state,Look at what a constable vs. a sub-inspector does — different entry points very different career trajectories
teaching_school,B.Ed|D.El.Ed|BTC|Any graduation + CTET/TET,School Teacher|Primary Teacher|Subject Teacher,Day-to-day: planning lessons delivering classes assessing students and supporting their overall development.,you enjoy working with children and young people and want to make a direct impact on their learning and growth,Clear your CTET or state TET as soon as you are eligible — it is the baseline qualification that opens both government and private school doors,Check whether government school teaching or private school teaching suits your lifestyle — very different pay and work culture,Look at what a primary teacher vs. a secondary subject teacher does — different age groups very different skills needed
higher_education,M.A/M.Sc/M.Tech + PhD|NET/SET qualification,Professor|Lecturer|Research Scientist,Day-to-day: teaching undergraduate and postgraduate students conducting research and publishing academic work.,you enjoy deep intellectual work and want to contribute to knowledge in your field over a long career,Publish early even if it is a small conference paper — your publication record is what gets you shortlisted for academic positions,Clear UGC NET or CSIR NET as soon as you finish your postgraduate degree — it is the minimum qualification for most college teaching roles,Look at what a teaching-focused lecturer vs. a research-focused professor does — very different day-to-day priorities
ca_accounting,CA Foundation|CA Intermediate|CA Final|B.Com,Chartered Accountant|Tax Consultant|Auditor,Day-to-day: auditing financial statements filing taxes advising clients on financial compliance and managing accounts.,you enjoy working with numbers have strong attention to detail and want a highly respected professional credential,Start articleship at a reputed firm even if the stipend is low — the exposure and network you build there is worth more than the money,Understand the CA exam pass rates before committing — most candidates take multiple attempts and the timeline is 4-5 years minimum,Look at what a CA in practice vs. a CA in industry does — running your own firm vs. being a CFO are very different careers
banking_finance,B.Com|BBA Finance|MBA Finance|CFA,Investment Banker|Financial Analyst|Relationship Manager,Day-to-day: analysing financial data managing client portfolios and advising on investments and financial products.,you enjoy finance and want to work in a fast-paced environment where your analytical skills directly drive business outcomes,Get your NISM or CFA Level 1 certification — those two credentials open doors in both banking and capital markets,Check whether you want retail banking (customer-facing) or investment banking (analytical deal-focused) — very different cultures,Look at what a relationship manager vs. an investment analyst does — different skills different pressure levels
law_practice,LLB (3-year or 5-year integrated)|LLM,Lawyer|Corporate Counsel|Litigation Advocate,Day-to-day: researching case law drafting legal documents representing clients and advising on legal matters.,you enjoy analytical thinking and argumentation and want a career where your reasoning skills are your primary asset,Get your AIBE (All India Bar Examination) cleared as soon as you graduate — you cannot practice without it,Check whether you want litigation (courtroom-focused) or corporate law (transactional office-based) — they need different personalities,Look at what a junior associate at a law firm vs. a litigation advocate does — very different day-to-day and income trajectories
agriculture_farming,B.Sc Agriculture|Diploma in Agriculture|ITI Agriculture,Farmer|Agriculture Officer|Agri Entrepreneur,Day-to-day: managing crop cycles monitoring soil health operating farm equipment and coordinating with markets.,you enjoy working outdoors with nature and want to build a career in one of India's most essential sectors,Learn about soil health and crop rotation first — those two fundamentals will make everything else in farming make more sense,Check government schemes like PM-KISAN and NABARD loans — financial support for farmers is significant if you know where to look,Look at what a commercial farmer vs. an agriculture officer does — very different roles in the same sector
veterinary,B.V.Sc & AH (Bachelor of Veterinary Science),Veterinarian|Livestock Officer|Animal Researcher,Day-to-day: examining animals diagnosing conditions performing surgeries and advising farmers on animal health.,you love animals and want a career that combines scientific knowledge with hands-on clinical work,Get hands-on experience with both small and large animals during your degree — most vets specialise later but early breadth makes you more employable,Check VCI registration requirements — you cannot practice without it and the process takes time after graduation,Look at what a small animal vet vs. a large animal vet does — urban vs. rural practice are completely different lifestyles
horticulture,B.Sc Horticulture|M.Sc Horticulture,Horticulturist|Landscape Designer|Floriculture Specialist,Day-to-day: managing crop production designing landscapes and overseeing nursery or greenhouse operations.,you enjoy working with plants and want a career that combines science with hands-on outdoor work,Learn about protected cultivation and greenhouse farming — those skills command a premium and are in short supply,Check ICAR-affiliated colleges for B.Sc Horticulture — the quality of practical training varies significantly,Look at what a food crop horticulturist vs. a floriculturist does — very different markets and income potential
foodtech,B.Tech Food Technology|B.Sc Food Science|M.Sc Food Technology,Food Technologist|Quality Control Manager|Product Developer,Day-to-day: developing new food products testing for safety and quality and ensuring compliance with food regulations.,you are interested in food science and want to work at the intersection of chemistry biology and consumer products,Understand food safety regulations (FSSAI in India) — it is the one area where most food tech professionals get caught out,Check whether the college has industry tie-ups with food companies — internships in food processing plants are essential,Look at what a product development role vs. a quality control role does — different focus different day-to-day
architecture,B.Arch (5-year)|M.Arch,Architect|Urban Designer|Interior Architect,Day-to-day: designing buildings creating technical drawings coordinating with engineers and supervising construction.,you enjoy both creative design and technical problem-solving and want to shape the physical spaces people live and work in,Build a strong portfolio from year one — in architecture your portfolio is your CV and it matters more than your grades,Check Council of Architecture (CoA) recognition for the college — only CoA-recognised degrees allow you to practice,Look at what a design-focused architect vs. a project management-focused architect does — very different day-to-day
fashion_design,B.Des Fashion Design|B.F.Tech|Diploma in Fashion Design,Fashion Designer|Textile Designer|Stylist,Day-to-day: sketching designs selecting fabrics coordinating with production teams and presenting collections.,you have a strong visual sense enjoy creating and want to work in a fast-moving creative industry,Document every project you work on from day one — your portfolio is your most important career asset in this field,Check NIFT NID and Pearl Academy entrance exams — the top fashion schools have competitive admissions,Look at what a high fashion designer vs. a fast fashion designer does — very different creative freedom and commercial pressure
fine_arts_design,B.F.A (Bachelor of Fine Arts)|B.Des|Diploma in Design,Graphic Designer|Illustrator|Art Director,Day-to-day: creating visual content for clients working on branding campaigns and producing original artwork.,you have strong visual creativity and want to build a career where your artistic skills are your primary asset,Build a digital portfolio on Behance or Instagram from your first year — visibility is everything in creative fields,Check NID NIFT and state art college entrance exams — the quality of the institution shapes your network significantly,Look at what a graphic designer vs. a fine artist does — very different commercial viability and day-to-day work
performing_arts,B.A Music|B.A Dance|B.A Theatre|Diploma in Performing Arts,Performing Artist|Music Teacher|Theatre Director,Day-to-day: rehearsing performing teaching and building an audience through consistent public performance.,you are deeply passionate about your art form and are prepared to build multiple income streams in the early years,Start performing in public as early as possible — stage time is the only thing that actually builds a performer,Check FTII NSD and Sangeet Natak Akademi programmes — they are the most respected institutions in their respective fields,Look at what a classical performer vs. a commercial performer does — very different career paths and income models
journalism_media,B.A Journalism|B.A Mass Communication|BJMC,Journalist|News Anchor|Digital Content Producer,Day-to-day: researching stories interviewing sources writing articles and publishing across print digital or broadcast.,you enjoy storytelling and want to inform and influence public opinion through your reporting and writing,Start a blog or YouTube channel while you are still studying — the habit of publishing regularly is the most important skill in media,Check whether the college has a working newsroom or media lab — practical experience during the degree is essential,Look at what a print journalist vs. a digital journalist does — very different workflows and audience relationships
social_work,B.S.W (Bachelor of Social Work)|M.S.W,Social Worker|Community Development Officer|NGO Programme Manager,Day-to-day: working with communities assessing needs designing programmes and advocating for vulnerable populations.,you want to create social change and are comfortable with emotionally demanding work that often has slow visible results,Get field placement experience in your first year — classroom social work and field social work are completely different,Check whether the college has NGO and government partnerships for field placements — the quality varies significantly,Look at what direct service social work vs. policy and advocacy work does — very different day-to-day and impact timelines
psychology_counselling,B.A/B.Sc Psychology|M.A/M.Sc Psychology|M.Phil Clinical Psychology,Counsellor|Clinical Psychologist|School Psychologist,Day-to-day: assessing clients conducting therapy sessions writing case notes and supporting mental health recovery.,you are deeply empathetic enjoy understanding human behaviour and want to support people through difficult times,Get supervised clinical hours as early as possible — they are required for most certifications and the waiting lists are long,Check RCI (Rehabilitation Council of India) registration requirements — clinical psychology practice requires RCI registration,Look at what a clinical psychologist vs. a counsellor does — different qualifications different scope of practice
