domain_code,domain_name,domain_category,description,is_active
banking_govt,Government Banking (IBPS/SBI),government,Public sector bank exams IBPS SBI PO and clerk,1
defense_armed_forces,Defense & Armed Forces,government,Indian Army Navy Air Force and paramilitary services,1
police_law_enforcement,Police & Law Enforcement,government,State police services and law enforcement careers,1
teaching_school,School Teaching,government,Primary and secondary school teaching and education,1
higher_education,Higher Education & Academia,education,University teaching research and academic careers,1
edtech,Education Technology,education,Educational technology and e-learning platforms,1
law_practice,Law & Legal Practice,law_policy,Litigation corporate law and legal practice,1
legaltech,Legal Technology,law_policy,Legal technology and law practice innovation,1
ai_ethics,AI Ethics & Policy,law_policy,AI ethics governance and technology policy,1
biotech,Biotechnology,science_research,Biological research genomics and drug discovery,1
pharma,Pharmaceuticals,science_research,Drug development and pharmaceutical industry,1
space_tech,Aviation & Aerospace,science_research,Space technology aviation and aerospace,1
pure_sciences,Pure Sciences (BSc/MSc),science_research,Physics chemistry mathematics and pure science research,1
defense_tech,Defense Technology,science_research,Defense technology systems and research,1
agriculture_farming,Agriculture & Farming,agriculture,Traditional farming crop science and agricultural practice,1
agritech,AgriTech,agriculture,Agricultural technology precision farming and food systems,1
veterinary,Veterinary Science,agriculture,Animal health veterinary medicine and livestock management,1
horticulture,Horticulture & Forestry,agriculture,Horticulture floriculture and forest management,1
foodtech,Food Technology,agriculture,Food science food processing and food technology,1
fine_arts_design,Fine Arts & Design,creative_arts,Fine arts painting sculpture and visual arts,1
architecture,Architecture,creative_arts,Building design urban planning and architectural practice,1
fashion_design,Fashion & Textile Design,creative_arts,Fashion design textile and apparel industry,1
fashiontech,Fashion Technology,creative_arts,Fashion technology and design innovation,1
performing_arts,Performing Arts (Music/Dance/Theatre),creative_arts,Classical and contemporary music dance and theatre,1
journalism_media,Journalism & Mass Media,creative_arts,Print digital and broadcast journalism and media,1
creator_economy,Content Creation & Media,creative_arts,Content creation social media and the creator economy,1
digital_marketing,Digital Marketing,creative_arts,Online marketing SEO social media and growth,1
marketing,Marketing & Brand Management,creative_arts,Marketing strategy and brand management,1
gaming,Gaming & Game Development,creative_arts,Game development and gaming industry,1
professional_sports,Professional Sports & Athletics,sports_physical,Competitive sports and professional athletics career,1
sports_coaching,Sports Coaching & Training,sports_physical,Sports coaching fitness training and athletic development,1
sports_tech,Sports Science & Technology,sports_physical,Sports science performance analysis and sports technology,1
physical_education,Physical Education,sports_physical,School and college physical education and fitness instruction,1
social_work,Social Work & NGO,social_welfare,Social work community development and NGO careers,1
psychology_counselling,Psychology & Counselling,social_welfare,Clinical psychology counselling and mental health practice,1
mental_health,Mental Health & Wellness,social_welfare,Mental health platforms wellness and psychology services,1
hrtech,HR & People Management,social_welfare,Human resources technology and people management,1
hotel_management,Hotel Management & Hospitality,hospitality_travel,Hotel operations food and beverage and hospitality management,1
traveltech,Travel & Tourism Technology,hospitality_travel,Travel technology and hospitality platforms,1
electrician_trades,Electrician & Electrical Trades,vocational,Electrical wiring installation and maintenance trades,1
plumbing_civil_trades,Plumbing & Civil Trades,vocational,Plumbing civil construction and building trades,1
it_hardware_support,IT Hardware & Support,vocational,Computer hardware networking and IT support trades,1
beauty_wellness,Beauty & Wellness,vocational,Beauty therapy cosmetology and wellness services,1
climate_tech,Climate Tech & Sustainability,climate_environment,Climate change technology and sustainability solutions,1
urban_tech,Smart Cities & Urban Planning,climate_environment,Urban technology smart city solutions and urban planning,1
